"RESPID","GENDER","AGE","WORKING","REGION","MUSIC","LIST_OWN","LIST_BACK","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19"
36648,0,39,9,2,1,2,2,33,36,33,32,32,52,12,14,49,12,48,50,14,34,36,35,34,36,35
6186,1,61,,1,3,,,61,61,51,50,34,20,49,29,50,72,51,50,51,51,59,45,55,,
20285,0,35,9,2,1,1,0.5,3,4,7,3,2,50,67,50,55,67,50,31,29,31,4,17,18,15,3
45557,0,74,,0,1,,,5,53,5,5,52,33,4,4,2,51,51,53,4,4,4,0,0,,
45409,1,35,9,2,3,2,1,71,70,78,25,28,85,35,35,38,98,75,75,79,79,82,26,71,72,75
6981,0,46,,0,3,2,2,96,76,96,15,6,12,50,9,12,81,97,95,53,54,78,50,91,,
45333,1,61,8,2,3,1,6,31,31,33,55,54,37,12,11,88,51,49,33,33,66,49,34,70,51,51
1252,1,38,,2,3,2,1,80,72,72,17,32,1,24,6,33,49,49,49,68,67,67,29,84,,
18082,0,44,8,2,1,0.5,1,13,58,58,49,52,11,52,54,34,33,89,79,50,29,14,54,55,27,10
14548,0,47,,0,3,0,0,31,32,32,12,73,74,75,12,76,8,52,8,70,32,10,10,96,,
45275,0,38,8,2,3,3,6,59,68,63,64,67,70,49,45,70,40,52,53,69,51,70,50,51,58,72
30821,0,25,3,2,3,2,1,53,71,51,49,70,92,73,31,47,66,63,46,71,64,61,,70,70,60
11890,0,64,11,2,1,0.5,2,34,49,29,29,31,48,49,32,72,53,34,35,15,34,37,35,39,29,32
46452,0,34,,1,4,2,2,89,64,82,26,33,32,14,35,84,74,51,76,81,86,74,85,76,,
10789,1,41,,2,3,1,3,52,74,41,54,33,17,31,30,72,70,53,43,41,41,31,51,74,,
16963,0,22,8,1,1,,,55,56,56,54,56,60,51,51,52,53,54,52,54,56,56,51,53,54,53
21494,1,14,3,0,4,1,3,48,72,70,70,32,49,31,31,30,73,52,51,69,70,69,,69,69,69
14477,0,31,,2,4,1,1,54,72,74,34,35,3,31,33,10,69,71,94,92,72,53,76,72,,
29875,1,48,5,1,3,2,0,69,68,68,29,3,2,2,2,48,67,67,72,3,55,55,,71,55,26
11368,1,25,8,1,3,0.5,1,82,97,45,69,71,93,99,45,8,70,29,24,51,76,90,52,35,33,58
9836,1,37,,2,3,1,2,41,41,42,83,75,32,31,14,42,60,69,79,84,94,42,27,69,,
3486,0,39,8,2,3,2,1,30,50,71,71,49,28,29,29,51,72,50,50,29,51,52,29,50,49,30
6880,0,39,,0,3,,,10,72,51,71,72,26,5,6,50,50,16,11,9,24,8,9,9,,
47534,1,13,3,1,1,0.5,4,20,42,33,32,47,40,48,47,48,47,69,49,48,66,29,6,9,6,15
26785,1,54,9,3,2,1,0.5,9,13,11,12,11,91,9,11,89,27,50,68,9,10,13,7,17,14,8
10168,1,28,,0,4,2,3,75,85,83,81,4,3,40,45,80,74,78,67,74,85,58,71,68,,
49992,1,41,9,2,3,1,0.5,67,47,47,7,8,6,6,6,71,6,5,6,47,46,48,25,70,47,45
11339,1,57,11,0,1,1,0,11,31,31,31,31,31,9,8,69,27,61,50,44,65,10,26,26,10,11
1607,0,25,,2,3,1,0,60,81,53,31,14,40,46,63,61,50,74,74,52,68,34,53,89,,
25626,0,24,7,2,3,0,0,7,54,9,9,8,10,8,10,11,51,97,75,12,50,14,15,51,50,52
2914,0,43,8,1,3,2,1,31,49,48,34,50,32,54,22,48,56,81,51,43,33,51,51,51,44,28
37951,0,37,10,2,1,4,0,10,28,28,29,29,49,13,10,92,51,67,50,12,12,12,12,12,9,29
45285,1,28,9,2,4,9,13,25,44,64,59,40,56,52,49,41,43,43,40,12,11,25,30,78,92,29
36313,1,32,0,1,4,,,50,8,100,53,100,50,49,35,73,100,100,100,9,51,50,72,49,49,94
14259,0,21,,0,4,8,12,100,99,80,2,3,71,1,9,32,100,69,96,96,95,17,5,90,,
33216,1,14,,,3,2,2,49,68,68,34,36,36,36,35,60,48,72,74,90,74,52,33,50,,
16567,1,19,,1,3,2,4,59,58,59,40,22,39,68,50,27,49,66,13,36,69,51,49,77,,
45678,0,67,,2,1,0,1,30,30,9,11,10,94,51,10,89,8,71,8,9,9,10,10,68,,
40879,1,30,9,1,4,2,4,96,95,93,3,3,2,3,21,51,100,68,52,51,96,98,75,75,98,97
17384,0,14,3,2,4,1,2,67,50,66,44,50,34,10,9,19,68,66,66,72,79,67,45,50,58,62
29145,1,41,9,2,3,0.5,4,31,52,52,23,4,28,32,32,31,28,70,69,49,49,24,,69,6,6
20047,0,34,4,0,3,0.5,1,43,45,49,40,61,50,48,8,82,100,76,69,69,36,15,9,49,48,6
25815,0,15,3,2,4,2,3,84,84,75,32,33,28,17,42,9,82,85,52,77,44,71,69,85,80,81
45637,1,67,,2,3,1,5,11,55,54,13,13,12,10,9,52,10,13,14,16,14,8,10,10,,
46207,0,64,,1,4,,6,96,95,96,11,12,12,12,12,13,95,13,13,13,31,93,10,32,,
15055,1,49,,2,4,2,4,52,52,55,62,51,50,27,29,73,75,58,74,72,51,56,52,52,,
19360,0,23,9,0,3,8,3,96,96,95,7,9,7,33,51,7,75,76,54,80,80,82,70,72,72,51
611,0,21,,2,4,2,1,74,72,71,51,34,34,54,34,33,75,71,53,55,72,72,35,55,,
3909,1,41,9,0,3,3,3,69,70,70,17,16,31,68,67,33,73,70,71,71,72,68,68,69,69,68
962,1,61,,1,4,2,1,54,71,56,50,50,35,8,36,51,71,51,51,51,72,52,32,73,,
17599,1,64,11,0,1,0,1,49,49,26,48,9,70,8,8,71,52,52,53,31,50,11,10,49,30,31
16133,0,59,,0,1,1,7,20,45,50,49,35,35,9,9,41,10,70,71,53,59,19,7,16,,
16908,1,32,5,0,1,10,1,14.92,12.92,16.04,14.7,13.81,29,11.73,11.73,64.18,33.9,29,26.87,26.65,21.11,21.32,23.16,22.49,10.24,9.8
22448,1,42,9,3,4,5,1,72,33,73,54,54,8,6,10,53,69,71,92,26,49,52,,72,47,71
32515,1,48,,,4,10,7,53,54,64,25,9,79,53,41,54,73,55,61,54,58,57,50,68,,
17138,0,23,9,2,4,2,9,84,85,57,45,22,2,69,11,47,54,88,88,42,69,22,56,6,6,50
33424,1,15,3,2,1,1,1,26,51,63,56,48,90,85,79,74,77,76,70,32,74,13,13,44,42,29
44211,0,60,9,0,1,0,5,10,47,22,8,4,100,16,13,13,10,47,47,9,5,5,3,6,10,13
1674,0,33,,1,3,2,3,31,52,51,51,30,31,8,3,75,73,72,52,6,51,51,8,71,,
7895,0,29,,1,4,9,9,71,72,84,84,79,79,81,75,86,21,70,72,79,86,90,91,90,,
38752,0,15,3,0,3,3,1,52,52,56,36,31,28,69,70,21,51,91,89,62,77,46,47,70,71,54
40259,0,59,9,1,3,2,0.5,52,52,51,51,32,12,51,13,70,69,68,90,52,71,51,51,94,50,50
28816,1,58,8,2,1,0.5,0.5,7,50,8,8,7,52,4,8,78,3,4,63,5,4,3,,3,2,1
43481,1,76,11,0,2,0,,21,4,8,6,4,85,1,1,87,1,11,2,4,6,4,2,9,3,7
23044,0,31,8,2,3,,1,66,33,49,31,69,30,35,35,45,77,57,61,69,40,70,,61,39,37
44330,1,29,9,0,3,,2,51,53,52,52,52,52,52,52,51,51,52,51,51,51,51,51,50,51,51
33507,0,15,3,1,3,1,1,31,51,60,43,40,36,28,1,52,47,50,70,49,49,31,32,58,51,31
46713,1,52,,2,3,1,8,32,32,49,12,48,52,49,12,95,54,35,54,79,81,49,12,14,,
36142,1,20,3,2,4,2,3,72,72,72,57,70,72,71,94,73,54,53,55,55,83,68,52,69,71,72
4441,1,56,10,0,2,2,2,3,3,6,12,29,8,4,4,98,12,24,26,3,26,10,6,29,2,2
28177,0,48,9,0,1,0.5,2,51,50,52,66,49,49,68,48,47,49,71,72,50,50,17,,18,18,18
33419,0,22,4,2,1,0,5,70,70,71,52,50,49,35,52,76,53,69,70,69,74,53,53,53,74,55
21662,0,53,9,0,3,3,2,80,82,83,53,52,34,10,10,12,51,13,15,48,48,52,,93,74,74
47800,1,36,8,1,3,1,1,37,32,31,31,12,12,6,9,91,52,36,30,31,51,10,8,34,10,10
38183,1,35,5,2,4,2,,72,73,72,30,27,37,12,11,49,52,64,70,96,85,26,28,100,53,50
36006,1,29,9,2,3,2,7,75,75,74,53,75,69,6,3,90,55,5,3,58,73,77,76,57,80,76
37458,0,63,11,0,1,3,1,10,12,12,14,14,93,8,9,93,52,6,8,7,9,9,9,53,8,10
34073,0,51,10,2,2,0,0,32,56,33,31,56,53,31,32,89,31,57,58,9,34,8,10,53,33,34
45520,0,68,,0,1,,,8,6,13,13,12,96,12,13,97,10,10,9,9,10,7,7,9,,
37420,1,25,1,2,4,16.5,3,63,58,66,64,63,64,65,64,65,63,67,66,62,63,66,64,65,62,73
32629,1,18,,,3,3,2,64,71,49,57,63,72,80,44,52,71,41,53,60,51,57,69,68,,
20526,1,18,8,0,4,16.5,3,87,87,79,50,29,39,52,58,13,89,71,53,72,80,68,50,69,70,70
22202,1,35,1,1,3,2,0.5,95,94,71,8,9,31,6,7,69,49,48,48,10,70,91,,71,49,49
7804,1,23,,2,1,,,10,9,31,10,31,95,9,8,30,52,9,12,71,30,10,10,7,,
2211,0,15,3,0,4,2,0,72,81,86,6,7,21,28,48,70,47,71,74,47,71,30,69,48,69,46
42100,1,18,5,0,3,2,0.5,45,71,60,50,39,49,7,7,46,47,23,39,51,67,25,24,51,35,33
45283,1,39,9,1,1,0.5,3,57,52,67,37,33,58,28,27,56,48,70,70,48,30,37,52,71,51,39
37165,1,50,10,0,0,0,0.5,11,23,10,12,49,37,13,12,94,28,32,10,9,25,33,9,57,12,12
45995,0,45,,2,3,0,2,51,50,48,30,30,70,10,9,79,46,78,75,20,9,13,12,25,,
50738,0,62,11,0,1,2,6,6,29,6,19,33,19,12,9,77,19,30,16,8,10,4,4,10,7,7
13151,1,23,5,2,3,1,4,52,69,53,6,6,48,28,21,21,67,71,70,70,66,49,51,52,51,51
3091,0,52,4,0,1,0.5,2,5,50,17,7,10,3,2,4,67,6,66,48,7,5,6,4,26,5,5
10503,0,22,,0,4,,,96,28,57,46,20,5,25,26,8,100,100,100,82,100,51,25,67,,
46854,0,18,,2,3,1,5,66,62,48,28,28,48,2,1,69,29,69,67,70,59,14,12,75,,
43075,0,16,3,0,2,,,59,66,38,64,73,52,52,71,41,74,48,33,61,65,48,77,69,62,39
19009,0,44,8,1,3,4,5,4,6,5,4,47,4,4,5,46,86,88,93,50,19,21,25,35,16,17
36249,0,17,3,0,4,2,4,77,77,70,20,9,32,68,67,14,70,89,79,59,48,33,9,16,70,63
30479,1,40,9,0,4,1,4,73,73,72,72,51,13,52,52,38,57,75,75,75,76,78,,72,73,70
1109,1,39,,1,4,1,6,52,52,62,28,14,47,15,9,32,84,50,67,32,33,51,33,69,,
32914,0,34,,,3,2,3,66,60,57,48,53,25,21,20,49,49,69,94,50,51,52,54,82,,
31291,1,24,9,2,3,1,1,68,37,59,46,52,51,43,57,44,55,46,59,46,48,56,,32,57,49
5740,0,13,,1,4,3,2,67,68,72,9,9,48,13,13,12,74,64,55,50,77,63,16,73,,
43653,0,56,4,1,3,3,0.5,12,70,28,9,9,9,4,10,71,100,52,7,6,52,33,5,11,12,12
33761,1,30,6,2,4,8,4,91,91,91,52,29,33,36,57,59,91,55,55,71,71,88,75,91,91,90
10532,1,24,,0,4,0,1,67,54,54,53,47,14,49,35,50,52,66,66,49,53,53,48,48,,
9438,0,53,,2,3,1,1,54,54,50,58,52,52,52,52,54,53,70,71,52,52,52,52,62,,
31837,1,57,8,2,3,0.5,3,13,13,11,12,68,30,9,12,93,93,74,71,20,20,19,,9,12,13
45143,0,64,11,1,1,0.5,0.5,8,52,11,52,49,48,67,28,90,8,47,49,10,30,11,10,11,10,9
48433,1,36,10,2,3,4,2,46,92,50,49,49,50,32,30,48,30,87,73,73,73,73,47,47,49,17
3129,0,46,8,0,3,4,4,9,10,11,12,10,36,67,32,11,36,74,96,6,35,7,9,70,32,9
37783,1,24,9,0,3,2,2,32,65,22,14,72,50,11,98,98,72,48,49,53,51,38,58,24,79,41
13597,1,79,,0,3,1,2,54,53,53,48,68,48,28,30,48,46,49,55,69,53,51,51,67,,
19844,1,42,9,2,3,0.5,0,14,25,28,7,8,12,12,11,72,55,56,45,58,57,25,16,39,15,50
5268,1,63,11,1,3,0.5,2,49,48,48,28,48,67,9,11,53,52,51,29,10,13,29,8,68,31,10
27660,0,27,8,0,4,3,0.5,31,71,51,52,35,80,35,11,31,31,71,52,33,33,33,55,100,33,31
37404,0,55,9,0,4,2,1,74,53,76,12,14,14,13,13,12,71,67,53,53,67,28,69,70,57,72
26199,0,18,3,0,4,2,,50,48,51,51,49,49,52,50,49,51,50,48,50,50,51,31,55,54,53
29126,1,42,9,1,4,16.5,0,100,100,21,63,48,30,37,81,86,46,44,31,75,98,99,,99,41,60
36167,0,18,3,0,4,3,3,82,82,85,54,20,40,59,63,17,27,54,24,31,59,56,8,69,96,89
4802,0,37,9,2,3,2,10,19,29,29,29,28,63,26,27,26,27,65,65,29,39,26,16,68,46,45
40444,0,57,11,0,4,3,7,70,65,94,34,11,9,7,9,38,73,73,84,86,80,59,32,91,51,53
26975,0,53,4,2,4,2,5,55,59,57,39,12,16,29,33,46,77,67,54,54,55,49,51,56,60,53
33155,1,27,,,4,,,52,52,52,52,52,53,51,54,52,54,54,54,54,52,53,51,51,,
33333,1,70,11,1,1,1,3,14,15,11,11,53,69,30,29,98,56,33,13,16,16,15,16,14,14,14
11762,0,56,4,0,1,0,0.5,8,53,8,8,29,30,50,10,30,30,75,72,6,6,7,7,61,9,8
33391,1,15,3,0,4,3,1,96,98,98,32,44,38,68,96,30,94,96,95,90,98,96,99,99,98,97
32747,0,15,,,4,2,1,52,55,62,53,40,52,18,14,74,54,96,97,57,70,74,46,50,,
32683,0,38,,,4,2,2,2,17,26,99,8,2,10,8,30,13,91,93,37,66,10,52,72,,
1718,0,43,,2,3,3,5,47,66,47,39,45,54,40,26,49,65,67,66,50,56,50,46,48,,
15033,1,58,,2,0,0,0,3,4,2,1,2,1,3,3,76,4,6,8,4,4,3,3,2,,
13858,0,66,,2,2,,,4,4,5,6,10,6,4,3,4,6,6,5,5,3,4,5,3,,
45725,1,14,,0,4,5,,75,75,75,26,30,33,31,33,8,76,76,76,75,76,52,30,72,,
37792,0,36,9,0,3,2,6,92,80,97,38,39,55,73,73,6,96,94,83,38,86,96,53,92,94,94
14026,0,45,,1,3,2,,67,70,92,59,74,38,57,41,30,66,66,49,29,75,74,52,69,,
35255,1,15,7,0,4,2,3,12,41,10,36,60,82,98,69,60,49,38,9,28,64,86,99,45,29,20
33612,0,24,5,1,3,1,0,53,48,54,71,71,91,52,56,30,70,72,72,10,30,31,32,33,30,53
32350,1,24,,,4,1,0,55,55,88,13,12,91,10,57,7,87,48,52,49,55,53,54,53,,
30559,1,41,4,1,2,0,0.5,28,50,32,33,50,72,10,12,73,36,39,41,51,32,32,,49,34,36
1626,0,31,,2,1,0,1,57,51,67,10,32,10,24,8,12,69,52,54,46,46,51,4,73,,
30129,0,34,9,0,4,2,1,78,53,100,53,50,0,49,49,1,100,100,100,100,97,91,,52,94,96
11803,1,39,9,0,1,0,2,5,7,8,5,1,20,6,3,29,6,3,33,47,19,15,4,18,12,22
36639,1,22,8,2,1,4,5,52,53,87,27,52,15,97,77,55,47,73,29,12,12,12,50,51,50,51
6442,1,61,,2,4,10,,91,74,75,56,4,11,9,13,50,91,72,73,51,97,99,78,70,,
7662,0,21,,2,3,1,2,56,22,75,65,51,28,1,0,86,37,63,65,18,46,23,28,26,,
28324,1,55,9,3,3,0.5,8,35,73,47,34,31,48,32,11,80,55,53,36,13,35,35,,47,33,50
20141,0,45,9,1,3,3,6,30,31,31,60,27,30,20,8,91,62,47,68,16,43,31,18,31,26,27
17258,0,65,8,3,1,0.5,2,11,49,27,26,51,70,51,51,68,6,49,50,28,29,6,30,28,10,12
24138,0,29,9,2,3,1,0.5,48,50,59,31,32,10,53,12,33,53,53,52,61,77,22,,71,53,31
10861,0,58,,2,4,2,1,71,71,71,6,7,7,12,12,30,95,96,97,79,80,11,10,70,,
7412,0,27,,1,4,3,2,53,88,75,5,0,0,69,69,30,100,91,77,72,71,63,29,70,,
3675,0,30,9,2,3,0.5,2,32,31,30,71,71,29,29,29,54,54,50,32,52,70,52,31,32,32,33
13860,1,13,,1,1,1,,53,43,37,38,10,56,12,16,66,15,53,78,51,55,14,15,57,,
33116,1,24,,,4,3,2,72,72,72,33,14,56,93,70,31,73,32,10,95,78,80,51,73,,
49967,0,64,11,0,0,0,0,10,10,7,8,24,88,66,67,92,48,70,48,11,10,13,14,7,9,8
40070,0,38,10,1,3,1,1,44,90,69,9,10,45,78,14,23,87,90,72,53,51,13,54,54,49,43
1919,0,67,11,0,3,5,13,12,13,29,11,53,13,54,13,56,36,94,83,9,9,31,10,52,11,16
9565,1,67,,2,1,,2,11,12,13,17,52,51,14,12,12,48,48,47,29,32,12,13,12,,
29713,0,24,8,0,3,8,15,64,73,72,48,33,74,60,33,51,43,49,50,70,52,29,,52,56,56
38030,0,28,9,0,1,0.5,4,56,48,72,73,73,51,33,35,36,35,58,73,72,52,35,34,58,57,59
8409,0,30,,1,1,,2,14,73,13,67,68,4,36,8,30,71,75,70,49,56,32,10,72,,
3002,0,55,8,0,1,0.5,0.5,10,10,9,9,10,29,10,10,90,27,28,29,10,10,10,13,14,8,10
48382,1,31,9,1,4,3,2,96,78,93,24,31,4,6,10,15,86,65,78,88,93,58,62,85,92,47
44930,1,39,5,2,3,1,4,44,29,73,7,30,73,1,1,44,2,1,10,68,67,6,7,65,6,8
40441,0,64,8,0,3,4,0.5,6,35,26,33,53,37,71,3,79,20,49,34,4,4,5,6,5,5,5
42673,0,30,9,1,3,2,1,79,81,82,5,3,70,52,51,28,54,77,79,5,78,49,3,73,73,52
37438,0,62,7,1,1,2,16.5,3,3,2,52,52,30,2,2,69,29,4,3,3,2,2,2,3,2,2
38461,1,69,11,0,3,0.5,2,32,32,33,32,74,60,29,13,72,54,65,55,14,35,33,33,35,12,31
47743,0,44,1,2,4,3,6,73,87,70,7,47,33,10,9,78,81,35,35,48,39,56,63,83,53,30
37303,0,44,9,2,1,0.5,1,32,32,32,33,33,71,12,14,71,32,32,33,33,33,12,13,51,34,11
37677,0,42,8,1,3,10,3,70,73,82,33,19,54,14,8,11,73,72,72,72,70,81,69,93,74,58
10786,1,44,,1,4,1,,95,73,90,8,9,8,8,10,48,93,11,11,50,69,9,9,9,,
4615,0,49,5,1,1,0.5,3,30,29,29,29,69,50,53,33,33,76,76,51,51,49,50,29,48,47,30
20774,1,45,9,2,4,16.5,0,71,53,20,23,23,25,27,10,9,10,10,10,10,10,10,12,11,51,71
33604,0,23,9,2,4,1,1,68,88,68,10,13,66,94,92,18,58,19,9,56,89,48,43,25,22,59
47900,1,34,9,0,3,0.5,0,35,47,35,48,33,3,35,29,72,60,51,53,41,45,6,3,48,34,33
41355,1,30,5,2,1,0,0.5,8,9,10,9,50,89,51,50,5,6,65,7,8,10,8,10,9,10,8
30909,1,14,3,1,3,1,0.5,66,84,33,15,15,53,4,7,4,71,50,68,77,77,70,,81,26,62
41132,1,18,3,2,4,6,4,97,84,82,46,18,43,52,41,21,71,60,59,65,88,83,48,59,85,90
14311,0,22,,0,3,1,8,64,60,62,35,16,50,73,41,34,50,51,47,67,61,64,18,65,,
19507,0,21,5,2,4,3,0.5,69,69,70,22,0,86,2,3,1,88,73,82,30,69,64,3,67,28,47
39912,0,30,4,1,4,10,0,70,73,53,11,12,55,10,14,15,96,51,50,50,74,51,7,48,47,46
9465,0,36,,2,3,,1,72,71,49,51,47,48,50,49,48,69,70,70,51,51,51,50,71,,
23192,1,15,3,2,4,1,2,54,71,68,8,6,7,32,31,100,67,49,68,100,94,63,,67,65,94
20222,0,58,8,2,1,1,0,11,10,10,10,10,47,11,10,68,50,30,30,9,11,11,11,11,8,8
6761,0,46,,2,3,3,2,64,52,56,45,53,53,2,3,30,65,51,41,6,66,51,10,69,,
5970,1,17,,0,1,1,,46,53,58,55,59,51,55,63,5,41,58,61,57,52,54,54,67,,
29012,0,56,4,1,3,1,2,11,38,25,50,57,51,33,35,68,77,72,76,43,43,13,,68,32,19
14712,1,36,,0,4,6,5,70,97,69,54,23,70,53,100,52,97,77,100,61,96,71,91,83,,
38602,1,23,9,0,1,0.5,0.5,47,50,65,48,41,47,68,59,50,72,56,49,31,69,53,28,44,70,62
5794,0,20,,0,4,5,6,95,94,94,4,6,5,92,72,7,6,52,30,90,93,63,92,93,,
2461,0,45,9,0,3,2,16.5,33,35,53,50,53,53,69,68,51,73,85,84,54,48,37,48,50,52,55
47997,1,19,3,0,4,4,10,65,62,54,65,11,11,36,34,33,48,35,33,91,91,51,52,90,63,30
6005,1,23,,0,3,1,,100,74,83,56,36,12,72,73,33,74,94,94,56,78,52,32,73,,
50291,0,34,8,2,1,0.5,0.5,8,8,10,10,9,78,48,35,88,49,33,42,26,30,6,10,45,9,28
44077,1,46,4,2,1,0.5,0.5,50,52,51,13,31,30,10,11,50,32,50,51,49,31,9,50,51,10,50
11964,1,19,2,1,3,11,10,34,24,51,20,70,31,62,46,76,25,33,74,38,70,33,30,75,39,80
891,1,57,,2,4,1,,96,100,96,97,98,4,48,71,10,100,97,98,96,100,49,52,97,,
44297,0,39,4,0,4,1,2,73,71,50,50,35,35,50,36,37,52,51,70,52,53,35,70,71,53,53
25861,1,21,3,2,4,16.5,2,65,88,58,17,48,7,32,20,3,100,52,37,80,10,90,13,72,87,71
29175,0,53,9,0,0,0,16.5,7,7,7,9,10,91,9,7,7,8,53,6,3,10,9,,9,9,10
41607,0,48,9,2,1,2,4,11,50,15,14,13,49,24,6,9,69,71,71,7,27,31,7,6,6,10
49010,1,40,9,2,1,0.5,0.5,50,51,52,53,50,50,32,33,51,67,51,50,51,52,52,31,50,50,50
36528,0,22,9,1,3,1,10,69,69,69,30,30,32,33,34,36,33,71,53,77,77,30,34,77,77,70
9299,1,29,,2,4,3,2,80,67,57,37,29,8,9,48,10,69,39,41,29,90,71,90,72,,
20382,0,25,9,2,3,1,2,50,51,67,49,11,10,62,48,50,48,64,58,68,67,32,29,62,28,49
29788,0,48,8,0,4,2,0,71,73,72,31,29,30,5,5,98,70,72,74,52,74,32,,72,72,34
49588,0,51,11,2,4,2,3,36,69,72,26,42,45,24,15,16,66,92,93,33,33,34,76,76,58,36
7891,1,64,,1,1,,1,17,52,52,53,35,71,12,12,28,11,72,73,56,36,16,16,38,,
11520,0,32,9,0,3,1,5,100,100,99,8,9,65,100,80,7,100,100,100,100,100,48,100,100,52,51
39310,0,63,11,2,4,3,4,64,59,61,8,8,21,5,4,35,62,63,72,27,37,27,16,70,47,12
38611,0,20,3,2,3,0.5,0.5,17,17,42,71,46,57,1,20,71,47,44,44,61,41,26,25,21,21,21
17254,1,70,9,0,3,2,3,69,52,72,32,52,33,56,35,57,49,70,50,51,71,33,50,71,50,34
38914,0,23,3,3,4,0.5,3,61,47,73,51,28,52,30,37,52,50,30,4,82,90,68,32,62,51,60
10960,1,54,,2,3,1,0,72,69,43,51,45,41,4,5,64,58,77,77,52,63,37,19,59,,
551,1,21,,2,3,3,,68,46,90,25,51,5,3,2,69,94,20,14,60,56,21,16,48,,
24949,0,31,4,1,3,8,2,10,9,30,52,51,13,29,29,53,52,70,52,27,49,8,,72,9,9
37374,0,45,9,0,4,2,2,78,37,65,52,30,39,23,18,42,62,62,50,50,50,52,52,68,42,33
1291,1,49,,2,1,2,8,48,49,47,69,68,48,25,9,23,52,53,52,34,45,7,6,10,,
32987,1,16,,,3,1,1,70,70,61,10,10,49,13,12,12,52,90,88,10,58,49,11,91,,
38663,1,14,3,1,4,3,10,97,98,99,7,6,7,6,6,95,74,99,100,99,100,98,99,100,84,98
18581,1,28,5,2,3,3,1,20,28,21,22,24,54,63,33,71,60,11,11,92,92,9,50,57,30,24
40251,1,28,5,2,3,2,16.5,100,79,57,9,65,9,8,3,60,9,53,86,46,26,12,12,100,42,10
47850,1,19,3,2,4,3,1,62,76,60,29,4,37,27,20,38,70,72,42,49,38,10,50,83,29,20
50643,0,28,4,2,1,0,0.5,2,4,3,4,5,3,2,77,4,10,65,75,6,8,11,6,4,3,7
49132,1,68,11,2,3,1,0.5,87,47,88,8,87,8,8,7,87,48,10,10,10,10,10,9,8,7,8
33015,0,18,,,3,5,5,59,37,73,52,48,12,33,33,11,52,73,57,75,93,52,32,74,,
49870,0,44,11,3,1,0.5,2,4,7,7,45,44,64,11,26,67,17,39,41,6,12,8,29,49,9,8
44343,1,41,9,0,4,4,2,100,80,100,100,77,58,33,62,34,100,82,99,32,53,66,32,53,75,75
9776,1,22,,1,4,3,0,56,54,69,8,13,88,8,12,73,77,11,17,51,69,9,58,9,,
11409,0,39,8,2,4,0.5,0.5,29,65,60,4,3,18,4,4,36,90,49,42,59,13,8,3,52,60,59
41799,0,49,9,1,3,1,2,3,4,3,90,89,57,7,7,70,34,54,35,7,8,7,4,4,4,3
4840,1,30,9,0,4,2,3,77,89,91,28,29,27,29,56,25,88,71,71,74,75,96,77,88,77,70
41782,1,62,8,0,3,1,0,96,30,96,9,10,8,9,7,49,49,34,34,11,35,11,10,10,6,8
34513,1,59,11,0,3,0.5,0,10,72,10,19,10,33,33,10,9,19,22,51,10,60,6,8,8,6,4
25882,0,51,8,1,4,2,8,69,69,49,5,6,48,12,13,10,52,93,42,65,80,41,48,93,49,49
34559,1,35,9,1,4,2,1,72,45,49,37,35,30,62,19,29,82,50,48,63,61,69,63,82,64,67
37412,1,47,9,2,4,5,0.5,33,34,47,33,33,32,50,50,70,48,32,34,51,51,34,34,49,32,33
24343,0,23,4,1,3,1,2,44,54,71,57,8,7,56,31,8,51,62,63,56,72,58,,76,76,79
40258,1,53,9,2,1,0.5,2,73,81,67,35,37,52,11,10,50,75,79,51,10,30,31,9,65,52,48
38849,1,63,9,0,1,0,8,26,28,28,27,44,26,12,29,69,67,48,47,28,28,7,31,49,49,49
6621,1,60,,2,3,2,1,5,100,10,10,10,51,10,4,4,41,100,69,53,51,6,6,6,,
13983,1,48,,1,3,1,1,8,49,7,7,32,31,9,9,70,50,50,69,31,51,29,30,50,,
28373,1,49,8,2,1,0.5,0.5,19,29,27,27,27,10,8,10,49,8,74,73,37,48,30,,34,30,13
31776,1,55,9,2,4,2,1,96,79,97,6,15,5,3,4,31,92,71,71,68,67,71,,81,74,94
5843,1,21,,1,1,1,3,36,43,23,35,2,3,16,5,53,43,50,21,47,61,32,51,71,,
777,0,23,,1,3,,,51,35,35,75,54,7,96,25,38,9,73,76,4,21,5,21,91,,
18016,0,33,4,1,3,2,1,63,57,55,58,34,33,66,59,51,40,87,84,68,70,70,74,69,68,64
6939,0,37,,0,4,3,4,48,44,91,38,62,60,33,49,87,43,26,35,56,63,32,60,36,,
49138,1,68,11,2,0,0,0,1,2,2,2,2,2,2,2,99,2,2,1,1,2,2,2,2,1,2
10517,0,22,,1,4,4,1,92,91,93,94,93,93,92,92,92,90,91,89,90,90,90,92,91,,
38790,1,22,3,2,3,16.5,6,22,23,20,73,18,63,39,47,27,71,2,3,75,64,4,30,76,34,80
39181,0,18,3,2,4,6,0.5,48,63,41,52,46,54,60,19,26,52,99,85,45,87,55,59,94,67,54
7253,0,57,,2,4,1,9,30,29,71,30,20,30,71,32,17,35,70,28,17,51,11,12,48,,
12040,1,59,10,1,1,0.5,4,91,30,29,8,49,23,99,100,70,91,65,62,32,45,3,11,68,46,93
